omitted_row	genotype_log_odds	converged	odds_ratio_per_risk_allele
0	-4.409171364180917	True	0.012165254720318883
1	-4.448657619942316	True	0.01169425457280541
2	-4.448657619942316	True	0.01169425457280541
3	-4.448657619942316	True	0.01169425457280541
4	-4.448657619942316	True	0.01169425457280541
5	-4.448657619942316	True	0.01169425457280541
6	-4.448657619942316	True	0.01169425457280541
7	-4.448657619942316	True	0.01169425457280541
8	-4.448657619942316	True	0.01169425457280541
9	-4.409169868965437	True	0.012165272910009663
10	-4.448657764787312	True	0.011694252878951282
11	-4.448657764787312	True	0.011694252878951282
12	-4.448657764787312	True	0.011694252878951282
13	-4.448657764787312	True	0.011694252878951282
14	-4.448657764787312	True	0.011694252878951282
15	-4.409170387628764	True	0.012165266600330371
16	-4.44865819412502	True	0.011694247858168626
17	-4.409171457612205	True	0.012165253583703524
18	-4.448658282066528	True	0.011694246829758876
19	-4.448658282066528	True	0.011694246829758876
20	-4.448658282066528	True	0.011694246829758876
21	-4.448658282066528	True	0.011694246829758876
22	-4.448658282066528	True	0.011694246829758876
23	-4.448658282066528	True	0.011694246829758876
24	-4.448658282066528	True	0.011694246829758876
25	-4.451618658053551	True	0.01165967865490091
26	-4.448658315702751	True	0.011694246436408592
27	-4.448658315702751	True	0.011694246436408592
28	-4.448658315702751	True	0.011694246436408592
29	-4.448658315702751	True	0.011694246436408592
30	-4.40917075880313	True	0.012165262084896093
31	-4.515823798837123	True	0.010934593510043528
32	-4.448657487610137	True	0.011694256120331703
33	-4.448657487610137	True	0.011694256120331703
34	-4.448657487610137	True	0.011694256120331703
35	-4.451615084493776	True	0.011659720321533992
36	-4.448658518399706	True	0.011694244066020687
37	-4.5158232451596145	True	0.010934599564283692
38	-4.448656821229818	True	0.011694263913156422
39	-4.448656821229818	True	0.011694263913156422
40	-4.515822891908582	True	0.010934603426942965
41	-4.448657078221156	True	0.011694260907832283
42	-4.448657078221156	True	0.011694260907832283
43	-4.448657078221156	True	0.011694260907832283
44	-4.448657078221156	True	0.011694260907832283
45	-4.409169438243736	True	0.01216527814985783
46	-4.448657562858118	True	0.01169425524036257
47	-4.409171784271647	True	0.012165249609809218
48	-4.409171784271647	True	0.012165249609809218
49	-4.515823969271051	True	0.01093459164641796
50	-4.448657188571716	True	0.011694259617364106
51	-4.448657188571716	True	0.011694259617364106
52	-4.448657188571716	True	0.011694259617364106
53	-4.448657188571716	True	0.011694259617364106
54	-4.448657188571716	True	0.011694259617364106
55	-4.515823369835559	True	0.010934598201002252
56	-4.448657230555519	True	0.011694259126394624
57	-4.448657230555519	True	0.011694259126394624
58	-4.448657230555519	True	0.011694259126394624
59	-4.448657230555519	True	0.011694259126394624
60	-4.409170837950505	True	0.012165261122047574
61	-4.448658510373827	True	0.011694244159877281
62	-4.448658510373827	True	0.011694244159877281
63	-4.448658510373827	True	0.011694244159877281
64	-4.448658510373827	True	0.011694244159877281
65	-4.448658510373827	True	0.011694244159877281
66	-4.51582363052716	True	0.010934595350444705
67	-4.409169941205934	True	0.01216527203118433
68	-4.448657234719927	True	0.011694259077694964
69	-4.448657234719927	True	0.011694259077694964
70	-4.409172361380336	True	0.012165242589139992
71	-4.448657065829604	True	0.011694261052742324
72	-4.515821966308814	True	0.010934613548014038
73	-4.448659558133729	True	0.011694231907123586
74	-4.40917113697301	True	0.012165257484361256
75	-4.448657116219412	True	0.011694260463470772
76	-4.51582219312404	True	0.010934611067877475
77	-4.448655949954857	True	0.011694274102080201
78	-4.448655949954857	True	0.011694274102080201
79	-4.409170465410767	True	0.012165265654091605
80	-4.448658574476596	True	0.011694243410243868
81	-4.448658574476596	True	0.011694243410243868
82	-4.448658574476596	True	0.011694243410243868
83	-4.448658574476596	True	0.011694243410243868
84	-4.409172850842657	True	0.012165236634713583
85	-4.448657863603106	True	0.011694251723374448
86	-4.448657863603106	True	0.011694251723374448
87	-4.451619362420925	True	0.011659670442206563
88	-4.448658808088972	True	0.011694240678324204
89	-4.451616399121131	True	0.011659704993356775
90	-4.409169874168777	True	0.012165272846709612
91	-4.409169874168777	True	0.012165272846709612
92	-4.448657214054875	True	0.011694259319357437
93	-4.515823737550509	True	0.01093459418018776
94	-4.448658064143651	True	0.011694249378203068
95	-4.409170433811908	True	0.012165266038500131
96	-4.448658048012968	True	0.011694249566839305
97	-4.515822611115498	True	0.010934606497304414
98	-4.515822611115498	True	0.010934606497304414
99	-4.4516181031935265	True	0.01165968512439229
100	-4.448658167835225	True	0.01169424816560801
101	-4.448658167835225	True	0.01169424816560801
102	-4.448658167835225	True	0.01169424816560801
103	-4.409169377041076	True	0.012165278894405234
104	-4.448656692126119	True	0.011694265422929251
105	-4.448656692126119	True	0.011694265422929251
106	-4.448656692126119	True	0.011694265422929251
107	-4.448656692126119	True	0.011694265422929251
108	-4.515824050386982	True	0.010934590759448417
109	-4.448658027718628	True	0.011694249804166378
110	-4.448658027718628	True	0.011694249804166378
111	-4.448658027718628	True	0.011694249804166378
112	-4.448658027718628	True	0.011694249804166378
113	-4.515822428172477	True	0.01093460849771454
114	-4.448657510442251	True	0.011694255853327116
115	-4.448657510442251	True	0.011694255853327116
116	-4.448657510442251	True	0.011694255853327116
117	-4.515822514812003	True	0.010934607550345286
118	-4.448657510442251	True	0.011694255853327116
119	-4.448657510442251	True	0.011694255853327116
120	-4.448657510442251	True	0.011694255853327116
121	-4.448657510442251	True	0.011694255853327116
122	-4.448657510442251	True	0.011694255853327116
123	-4.409172192803402	True	0.01216524463991947
124	-4.4486578325464246	True	0.011694252086559106
125	-4.409170520214471	True	0.012165264987390009
126	-4.448658498793981	True	0.011694244295294823
127	-4.448658498793981	True	0.011694244295294823
128	-4.448658498793981	True	0.011694244295294823
129	-4.448658498793981	True	0.011694244295294823
130	-4.448658498793981	True	0.011694244295294823
131	-4.448658498793981	True	0.011694244295294823
132	-4.448658498793981	True	0.011694244295294823
133	-4.448658498793981	True	0.011694244295294823
134	-4.448658498793981	True	0.011694244295294823
135	-4.448658498793981	True	0.011694244295294823
136	-4.448658498793981	True	0.011694244295294823
137	-5.770975035401921	True	0.003116717122628838
138	-4.448659300737934	True	0.011694234917170084
139	-4.448659300737934	True	0.011694234917170084
