outcome	off_diagonal_noise_sd	n_draws	estimate_median	estimate_p025	estimate_p975	se_median	proportion_positive
AD	0.02	1000	0.06507901279723072	0.06430455200918704	0.06604162882053245	0.010786549967370544	1.0
AD	0.05	1000	0.06514704065885832	0.06256903222616314	0.07167903012616526	0.010691814907562	1.0
TC	0.02	1000	0.008809513618083253	0.008631298717317616	0.00903597846472366	0.0016484845570032356	1.0
TC	0.05	1000	0.008829624499642192	0.008312751529282613	0.009885653634556419	0.001626633984879086	1.0
LDL	0.02	1000	0.008329396556281421	0.008117924251733891	0.008521058582158415	0.0016624028368155516	1.0
LDL	0.05	1000	0.008365202270861124	0.007629388221219152	0.009321217300146645	0.0016431717767456187	1.0
nonHDL	0.02	1000	0.009732667915211008	0.00944896467701542	0.010041290109810912	0.0019604870930000603	1.0
nonHDL	0.05	1000	0.00986595016430531	0.00899539909958569	0.011726185620840384	0.0019350781561954967	1.0
