outcome	baseline_model	n_instruments	estimate	se	p_value	molecular_qtl_donors	maximum_assumed_overlap_fraction	minimum_instrument_f	relative_weak_instrument_bias_bound_percent	interpretation
AD	rebuilt signed 1000 Genomes EUR LD; ridge = 0	5	0.0650576240618898	0.0108124035502401	1.7774079842434006e-09	147	1.0	32.4874829620081	3.0781085785237097	complete-overlap upper bound; no overlap-adjusted estimate or P value is inferred without cohort-resolved sampling covariance
TC	rebuilt signed 1000 Genomes EUR LD; ridge = 0	5	0.0088114250457356	0.0016521991264919	9.65237462508537e-08	147	1.0	32.4874829620081	3.0781085785237097	complete-overlap upper bound; no overlap-adjusted estimate or P value is inferred without cohort-resolved sampling covariance
LDL	rebuilt signed 1000 Genomes EUR LD; ridge = 0	5	0.0083310305422018	0.0016666715704065	5.774697269477467e-07	147	1.0	32.4874829620081	3.0781085785237097	complete-overlap upper bound; no overlap-adjusted estimate or P value is inferred without cohort-resolved sampling covariance
nonHDL	rebuilt signed 1000 Genomes EUR LD; ridge = 0	5	0.0097195423583212	0.0019637530312858	7.441474807595217e-07	147	1.0	32.4874829620081	3.0781085785237097	complete-overlap upper bound; no overlap-adjusted estimate or P value is inferred without cohort-resolved sampling covariance
