trait_pair	region_grch38	allele_compatible_overlapping_snps	p1	p2	p12_default	pp_h4_p12_div_10	pp_h4_default	pp_h4_p12_times_10	default_pp_h3	method	ld_panel
AD-TC	chr10:80244228-80744228	3772	0.0001	0.0001	1e-05	0.8002779886225141	0.975651086233109	0.9975105548669255	0.0243481439367118	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
AD-LDL-C	chr10:80244228-80744228	3769	0.0001	0.0001	1e-05	0.7162077272168146	0.961885946151768	0.9960532092391486	0.0381037235143793	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
AD-non-HDL-C	chr10:80244228-80744228	3768	0.0001	0.0001	1e-05	0.6983859163069728	0.958600618864801	0.9956998403323595	0.0413836290748962	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
