source_label	cell_label	estimate	se	lo	hi	P.Value	fdr	interval_available	n_comparator	n_high_ad
"SEA-AD adjusted pseudobulk"	"Microglia"	-0.0632601537941217	0.152063976341798	-0.361305547424046	0.234785239835803	0.681608903555416	0.991795919274617	TRUE	12	23
"SEA-AD adjusted pseudobulk"	"Neurons"	0.102985843923396	0.095853959425964	-0.0848879165514934	0.290859604398285	0.295517005232858	0.648254565276197	TRUE	12	23
"17-study single-cell meta-analysis"	"Oligodendrocytes"	0.602750908555234	NA	NA	NA	0.00191086770607196	0.127892173913044	FALSE	NA	NA
"17-study single-cell meta-analysis"	"Microglia"	0.231986159042052	NA	NA	NA	0.0119281757779094	0.312313425129087	FALSE	NA	NA
