sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-1117F-3226-SM-5N9CT"	"GTEX-1117F"	"Brain - Cortex"	35	32	3.58351893845611	3.49650756146648
"GTEX-111FC-3126-SM-5GZZ2"	"GTEX-111FC"	"Brain - Cortex"	52	46	3.97029191355212	3.85014760171006
"GTEX-111FC-3326-SM-5GZYV"	"GTEX-111FC"	"Brain - Cerebellum"	15	15	2.77258872223978	2.77258872223978
"GTEX-1128S-2726-SM-5H12C"	"GTEX-1128S"	"Brain - Cortex"	69	57	4.24849524204936	4.06044301054642
"GTEX-1128S-2826-SM-5N9DI"	"GTEX-1128S"	"Brain - Cerebellum"	19	14	2.99573227355399	2.70805020110221
"GTEX-117XS-3026-SM-5N9CA"	"GTEX-117XS"	"Brain - Cortex"	83	70	4.43081679884331	4.26267987704132
"GTEX-117XS-3126-SM-5GIDP"	"GTEX-117XS"	"Brain - Cerebellum"	13	19	2.63905732961526	2.99573227355399
"GTEX-1192X-0011-R10a-SM-DO941"	"GTEX-1192X"	"Brain - Frontal Cortex (BA9)"	81	74	4.40671924726425	4.31748811353631
"GTEX-1192X-0011-R5a-SM-DNZZA"	"GTEX-1192X"	"Brain - Caudate (basal ganglia)"	79	68	4.38202663467388	4.23410650459726
"GTEX-1192X-0011-R6a-SM-DNZZB"	"GTEX-1192X"	"Brain - Nucleus accumbens (basal ganglia)"	55	47	4.02535169073515	3.87120101090789
"GTEX-1192X-0011-R7b-SM-DNZZC"	"GTEX-1192X"	"Brain - Putamen (basal ganglia)"	83	52	4.43081679884331	3.97029191355212
"GTEX-1192X-0011-R8b-SM-DO11U"	"GTEX-1192X"	"Brain - Hypothalamus"	74	55	4.31748811353631	4.02535169073515
"GTEX-1192X-0011-R9b-SM-DO934"	"GTEX-1192X"	"Brain - Spinal cord (cervical c-1)"	105	75	4.66343909411207	4.33073334028633
"GTEX-1192X-3126-SM-5N9BY"	"GTEX-1192X"	"Brain - Cortex"	67	49	4.21950770517611	3.91202300542815
"GTEX-1192X-3226-SM-5987D"	"GTEX-1192X"	"Brain - Cerebellum"	14	9	2.70805020110221	2.30258509299405
"GTEX-11DXW-0011-R1a-SM-DNZZD"	"GTEX-11DXW"	"Brain - Hippocampus"	52	21	3.97029191355212	3.09104245335832
"GTEX-11DXW-0011-R3b-SM-DNZZE"	"GTEX-11DXW"	"Brain - Anterior cingulate cortex (BA24)"	42	30	3.76120011569356	3.43398720448515
"GTEX-11DXW-0011-R5b-SM-DO11D"	"GTEX-11DXW"	"Brain - Caudate (basal ganglia)"	30	27	3.43398720448515	3.3322045101752
"GTEX-11DXW-0011-R6a-SM-DO11N"	"GTEX-11DXW"	"Brain - Nucleus accumbens (basal ganglia)"	31	17	3.46573590279973	2.89037175789616
"GTEX-11DXW-0011-R7b-SM-DO119"	"GTEX-11DXW"	"Brain - Putamen (basal ganglia)"	24	22	3.2188758248682	3.13549421592915
"GTEX-11DXW-1026-SM-5H11K"	"GTEX-11DXW"	"Brain - Cerebellum"	12	9	2.56494935746154	2.30258509299405
"GTEX-11DXW-1126-SM-5H12Q"	"GTEX-11DXW"	"Brain - Cortex"	61	55	4.12713438504509	4.02535169073515
"GTEX-11DXY-0011-R10b-SM-DO12C"	"GTEX-11DXY"	"Brain - Frontal Cortex (BA9)"	88	62	4.48863636973214	4.14313472639153
"GTEX-11DXY-0011-R11a-SM-DNZZN"	"GTEX-11DXY"	"Brain - Cerebellar Hemisphere"	25	17	3.25809653802148	2.89037175789616
"GTEX-11DXY-0011-R5b-SM-DNZZL"	"GTEX-11DXY"	"Brain - Caudate (basal ganglia)"	40	37	3.71357206670431	3.63758615972639
"GTEX-11DXY-0011-R6a-SM-DNZZF"	"GTEX-11DXY"	"Brain - Nucleus accumbens (basal ganglia)"	66	53	4.20469261939097	3.98898404656427
"GTEX-11DXY-0011-R7a-SM-DO11L"	"GTEX-11DXY"	"Brain - Putamen (basal ganglia)"	43	31	3.78418963391826	3.46573590279973
"GTEX-11DXY-0011-R8a-SM-DO11M"	"GTEX-11DXY"	"Brain - Hypothalamus"	34	21	3.55534806148941	3.09104245335832
"GTEX-11DXY-3126-SM-5N9BT"	"GTEX-11DXY"	"Brain - Cerebellum"	24	14	3.2188758248682	2.70805020110221
"GTEX-11DXY-3226-SM-5GIDE"	"GTEX-11DXY"	"Brain - Cortex"	51	48	3.95124371858143	3.89182029811063
"GTEX-11DYG-0011-R10b-SM-DNZZO"	"GTEX-11DYG"	"Brain - Frontal Cortex (BA9)"	56	53	4.04305126783455	3.98898404656427
"GTEX-11DYG-0011-R11a-SM-DNZZP"	"GTEX-11DYG"	"Brain - Cerebellar Hemisphere"	13	17	2.63905732961526	2.89037175789616
"GTEX-11DYG-0011-R5a-SM-DO928"	"GTEX-11DYG"	"Brain - Caudate (basal ganglia)"	34	32	3.55534806148941	3.49650756146648
"GTEX-11DYG-0011-R6a-SM-DO936"	"GTEX-11DYG"	"Brain - Nucleus accumbens (basal ganglia)"	40	27	3.71357206670431	3.3322045101752
"GTEX-11DYG-0011-R7b-SM-EXUS6"	"GTEX-11DYG"	"Brain - Putamen (basal ganglia)"	32	26	3.49650756146648	3.29583686600433
"GTEX-11DYG-0011-R8a-SM-DO93F"	"GTEX-11DYG"	"Brain - Hypothalamus"	33	32	3.52636052461616	3.49650756146648
"GTEX-11DYG-2926-SM-5H132"	"GTEX-11DYG"	"Brain - Cerebellum"	15	19	2.77258872223978	2.99573227355399
"GTEX-11DZ1-0011-R10b-SM-DO943"	"GTEX-11DZ1"	"Brain - Frontal Cortex (BA9)"	43	39	3.78418963391826	3.68887945411394
"GTEX-11DZ1-0011-R11b-SM-DO11W"	"GTEX-11DZ1"	"Brain - Cerebellar Hemisphere"	6	6	1.94591014905531	1.94591014905531
"GTEX-11DZ1-0011-R2a-SM-DNZZM"	"GTEX-11DZ1"	"Brain - Substantia nigra"	59	53	4.0943445622221	3.98898404656427
"GTEX-11DZ1-0011-R3a-SM-DNZYY"	"GTEX-11DZ1"	"Brain - Anterior cingulate cortex (BA24)"	50	60	3.93182563272433	4.11087386417331
"GTEX-11DZ1-0011-R5a-SM-DO11J"	"GTEX-11DZ1"	"Brain - Caudate (basal ganglia)"	49	51	3.91202300542815	3.95124371858143
"GTEX-11DZ1-0011-R6b-SM-DNZZG"	"GTEX-11DZ1"	"Brain - Nucleus accumbens (basal ganglia)"	53	47	3.98898404656427	3.87120101090789
"GTEX-11DZ1-0011-R7a-SM-DNZZH"	"GTEX-11DZ1"	"Brain - Putamen (basal ganglia)"	55	44	4.02535169073515	3.80666248977032
"GTEX-11DZ1-0011-R8b-SM-DNZZI"	"GTEX-11DZ1"	"Brain - Hypothalamus"	45	56	3.8286413964891	4.04305126783455
"GTEX-11DZ1-0011-R9a-SM-DO933"	"GTEX-11DZ1"	"Brain - Spinal cord (cervical c-1)"	161	122	5.08759633523238	4.81218435537242
"GTEX-11DZ1-2926-SM-5A5KI"	"GTEX-11DZ1"	"Brain - Cerebellum"	16	15	2.83321334405622	2.77258872223978
"GTEX-11EI6-0011-R10a-SM-DO93R"	"GTEX-11EI6"	"Brain - Frontal Cortex (BA9)"	45	35	3.8286413964891	3.58351893845611
"GTEX-11EI6-0011-R11a-SM-DO11V"	"GTEX-11EI6"	"Brain - Cerebellar Hemisphere"	12	8	2.56494935746154	2.19722457733622
"GTEX-11EI6-0011-R1a-SM-DO93L"	"GTEX-11EI6"	"Brain - Hippocampus"	42	43	3.76120011569356	3.78418963391826
"GTEX-11EI6-0011-R8a-SM-DO93M"	"GTEX-11EI6"	"Brain - Hypothalamus"	17	11	2.89037175789616	2.484906649788
"GTEX-11EI6-2926-SM-5985U"	"GTEX-11EI6"	"Brain - Cerebellum"	19	15	2.99573227355399	2.77258872223978
"GTEX-11EI6-3026-SM-5GZZO"	"GTEX-11EI6"	"Brain - Cortex"	56	49	4.04305126783455	3.91202300542815
"GTEX-11EMC-0011-R10a-SM-DNZZJ"	"GTEX-11EMC"	"Brain - Frontal Cortex (BA9)"	46	46	3.85014760171006	3.85014760171006
"GTEX-11EMC-0011-R11b-SM-DNZZK"	"GTEX-11EMC"	"Brain - Cerebellar Hemisphere"	4	1	1.6094379124341	0.693147180559945
"GTEX-11EMC-0011-R2b-SM-DO114"	"GTEX-11EMC"	"Brain - Substantia nigra"	33	22	3.52636052461616	3.13549421592915
"GTEX-11EMC-0011-R8b-SM-DO91Z"	"GTEX-11EMC"	"Brain - Hypothalamus"	21	18	3.09104245335832	2.94443897916644
"GTEX-11EMC-0011-R9b-SM-DO921"	"GTEX-11EMC"	"Brain - Spinal cord (cervical c-1)"	68	53	4.23410650459726	3.98898404656427
"GTEX-11EMC-3226-SM-5EGKW"	"GTEX-11EMC"	"Brain - Cortex"	45	52	3.8286413964891	3.97029191355212
"GTEX-11EMC-3326-SM-5P9JH"	"GTEX-11EMC"	"Brain - Cerebellum"	34	26	3.55534806148941	3.29583686600433
"GTEX-11GS4-0011-R1a-SM-DO129"	"GTEX-11GS4"	"Brain - Hippocampus"	25	19	3.25809653802148	2.99573227355399
"GTEX-11GS4-0011-R2a-SM-DO942"	"GTEX-11GS4"	"Brain - Substantia nigra"	13	8	2.63905732961526	2.19722457733622
"GTEX-11GS4-3126-SM-5A5LH"	"GTEX-11GS4"	"Brain - Cortex"	29	35	3.40119738166216	3.58351893845611
"GTEX-11GSO-0011-R1b-SM-57WD3"	"GTEX-11GSO"	"Brain - Hippocampus"	48	47	3.89182029811063	3.87120101090789
"GTEX-11GSO-0011-R2a-SM-57WDF"	"GTEX-11GSO"	"Brain - Substantia nigra"	23	26	3.17805383034795	3.29583686600433
"GTEX-11GSO-0011-R3b-SM-57WB2"	"GTEX-11GSO"	"Brain - Anterior cingulate cortex (BA24)"	46	39	3.85014760171006	3.68887945411394
"GTEX-11GSO-2926-SM-5HL73"	"GTEX-11GSO"	"Brain - Cortex"	54	47	4.00733318523247	3.87120101090789
"GTEX-11GSO-3026-SM-5Q5AL"	"GTEX-11GSO"	"Brain - Cerebellum"	19	20	2.99573227355399	3.04452243772342
"GTEX-11GSP-0011-R10a-SM-5NQ7J"	"GTEX-11GSP"	"Brain - Frontal Cortex (BA9)"	35	24	3.58351893845611	3.2188758248682
"GTEX-11GSP-0011-R11b-SM-5NQ7V"	"GTEX-11GSP"	"Brain - Cerebellar Hemisphere"	3	3	1.38629436111989	1.38629436111989
"GTEX-11GSP-0011-R1a-SM-9QEJ3"	"GTEX-11GSP"	"Brain - Hippocampus"	8	12	2.19722457733622	2.56494935746154
"GTEX-11GSP-0011-R2b-SM-9QEGE"	"GTEX-11GSP"	"Brain - Substantia nigra"	27	25	3.3322045101752	3.25809653802148
"GTEX-11GSP-0011-R3a-SM-9QEGF"	"GTEX-11GSP"	"Brain - Anterior cingulate cortex (BA24)"	22	14	3.13549421592915	2.70805020110221
"GTEX-11GSP-0011-R5a-SM-57WBE"	"GTEX-11GSP"	"Brain - Caudate (basal ganglia)"	28	26	3.36729582998647	3.29583686600433
"GTEX-11GSP-0011-R6b-SM-57WBQ"	"GTEX-11GSP"	"Brain - Nucleus accumbens (basal ganglia)"	38	27	3.66356164612965	3.3322045101752
"GTEX-11GSP-0011-R7b-SM-57WC3"	"GTEX-11GSP"	"Brain - Putamen (basal ganglia)"	26	30	3.29583686600433	3.43398720448515
"GTEX-11GSP-0011-R8b-SM-5NQ79"	"GTEX-11GSP"	"Brain - Hypothalamus"	21	19	3.09104245335832	2.99573227355399
"GTEX-11GSP-0011-R9b-SM-5NQ77"	"GTEX-11GSP"	"Brain - Spinal cord (cervical c-1)"	21	15	3.09104245335832	2.77258872223978
"GTEX-11GSP-3126-SM-5A5LL"	"GTEX-11GSP"	"Brain - Cerebellum"	20	8	3.04452243772342	2.19722457733622
"GTEX-11GSP-3226-SM-5986O"	"GTEX-11GSP"	"Brain - Cortex"	52	43	3.97029191355212	3.78418963391826
"GTEX-11H98-0011-R10b-SM-5NQ98"	"GTEX-11H98"	"Brain - Frontal Cortex (BA9)"	60	55	4.11087386417331	4.02535169073515
"GTEX-11H98-0011-R11b-SM-5NQ6U"	"GTEX-11H98"	"Brain - Cerebellar Hemisphere"	15	14	2.77258872223978	2.70805020110221
"GTEX-11H98-0011-R5b-SM-57WCF"	"GTEX-11H98"	"Brain - Caudate (basal ganglia)"	59	38	4.0943445622221	3.66356164612965
"GTEX-11H98-0011-R8a-SM-5NQ8V"	"GTEX-11H98"	"Brain - Hypothalamus"	51	36	3.95124371858143	3.61091791264422
"GTEX-11NUK-0011-R4a-SM-DO12B"	"GTEX-11NUK"	"Brain - Amygdala"	49	39	3.91202300542815	3.68887945411394
"GTEX-11NUK-0011-R5a-SM-DO93N"	"GTEX-11NUK"	"Brain - Caudate (basal ganglia)"	53	45	3.98898404656427	3.8286413964891
"GTEX-11NUK-0011-R6a-SM-DO93O"	"GTEX-11NUK"	"Brain - Nucleus accumbens (basal ganglia)"	46	39	3.85014760171006	3.68887945411394
"GTEX-11NUK-0011-R7a-SM-DO93P"	"GTEX-11NUK"	"Brain - Putamen (basal ganglia)"	40	40	3.71357206670431	3.71357206670431
"GTEX-11NUK-2926-SM-5A5MD"	"GTEX-11NUK"	"Brain - Cortex"	93	78	4.54329478227	4.36944785246702
"GTEX-11NUK-3026-SM-5986K"	"GTEX-11NUK"	"Brain - Cerebellum"	16	9	2.83321334405622	2.30258509299405
"GTEX-11NV4-0011-R5a-SM-5NQ88"	"GTEX-11NV4"	"Brain - Caudate (basal ganglia)"	35	20	3.58351893845611	3.04452243772342
"GTEX-11NV4-0011-R6a-SM-57WD5"	"GTEX-11NV4"	"Brain - Nucleus accumbens (basal ganglia)"	33	41	3.52636052461616	3.73766961828337
"GTEX-11NV4-0011-R7a-SM-57WDH"	"GTEX-11NV4"	"Brain - Putamen (basal ganglia)"	23	27	3.17805383034795	3.3322045101752
"GTEX-11NV4-2126-SM-5N9DS"	"GTEX-11NV4"	"Brain - Cortex"	36	34	3.61091791264422	3.55534806148941
"GTEX-11NV4-2226-SM-5BC4T"	"GTEX-11NV4"	"Brain - Cerebellum"	17	11	2.89037175789616	2.484906649788
"GTEX-11O72-0011-R5a-SM-DO922"	"GTEX-11O72"	"Brain - Caudate (basal ganglia)"	89	60	4.49980967033027	4.11087386417331
"GTEX-11O72-0011-R6a-SM-DNZZQ"	"GTEX-11O72"	"Brain - Nucleus accumbens (basal ganglia)"	80	59	4.39444915467244	4.0943445622221
"GTEX-11O72-2826-SM-5HL6W"	"GTEX-11O72"	"Brain - Cerebellum"	17	23	2.89037175789616	3.17805383034795
"GTEX-11O72-2926-SM-5BC4V"	"GTEX-11O72"	"Brain - Cortex"	44	36	3.80666248977032	3.61091791264422
"GTEX-11OC5-0626-SM-5HL6M"	"GTEX-11OC5"	"Brain - Cerebellum"	23	22	3.17805383034795	3.13549421592915
"GTEX-11OC5-0726-SM-5P9JK"	"GTEX-11OC5"	"Brain - Cortex"	114	90	4.74493212836325	4.51085950651685
"GTEX-11OF3-0011-R11a-SM-57WCR"	"GTEX-11OF3"	"Brain - Cerebellar Hemisphere"	6	4	1.94591014905531	1.6094379124341
"GTEX-11OF3-0011-R5a-SM-57WB4"	"GTEX-11OF3"	"Brain - Caudate (basal ganglia)"	41	38	3.73766961828337	3.66356164612965
"GTEX-11OF3-0011-R6b-SM-57WBG"	"GTEX-11OF3"	"Brain - Nucleus accumbens (basal ganglia)"	42	33	3.76120011569356	3.52636052461616
"GTEX-11OF3-0011-R7a-SM-57WCG"	"GTEX-11OF3"	"Brain - Putamen (basal ganglia)"	31	28	3.46573590279973	3.36729582998647
"GTEX-11OF3-0011-R8b-SM-57WCS"	"GTEX-11OF3"	"Brain - Hypothalamus"	21	12	3.09104245335832	2.56494935746154
"GTEX-11OF3-2926-SM-5HL78"	"GTEX-11OF3"	"Brain - Cortex"	11	9	2.484906649788	2.30258509299405
"GTEX-11ONC-0011-R1a-SM-57WD4"	"GTEX-11ONC"	"Brain - Hippocampus"	24	26	3.2188758248682	3.29583686600433
"GTEX-11ONC-0011-R4b-SM-DO93H"	"GTEX-11ONC"	"Brain - Amygdala"	16	22	2.83321334405622	3.13549421592915
"GTEX-11ONC-0011-R5b-SM-DO93I"	"GTEX-11ONC"	"Brain - Caudate (basal ganglia)"	49	40	3.91202300542815	3.71357206670431
"GTEX-11ONC-0011-R6a-SM-DO12A"	"GTEX-11ONC"	"Brain - Nucleus accumbens (basal ganglia)"	28	20	3.36729582998647	3.04452243772342
"GTEX-11ONC-0011-R7b-SM-DO93J"	"GTEX-11ONC"	"Brain - Putamen (basal ganglia)"	37	31	3.63758615972639	3.46573590279973
"GTEX-11ONC-0011-R8b-SM-5NQ87"	"GTEX-11ONC"	"Brain - Hypothalamus"	11	13	2.484906649788	2.63905732961526
"GTEX-11ONC-0011-R9b-SM-5NQ8J"	"GTEX-11ONC"	"Brain - Spinal cord (cervical c-1)"	36	36	3.61091791264422	3.61091791264422
"GTEX-11ONC-2926-SM-5P9JM"	"GTEX-11ONC"	"Brain - Cortex"	58	44	4.07753744390572	3.80666248977032
"GTEX-11ONC-3026-SM-5985W"	"GTEX-11ONC"	"Brain - Cerebellum"	14	11	2.70805020110221	2.484906649788
"GTEX-11PRG-0011-R10b-SM-DO93G"	"GTEX-11PRG"	"Brain - Frontal Cortex (BA9)"	60	42	4.11087386417331	3.76120011569356
"GTEX-11PRG-0011-R11b-SM-DNZZY"	"GTEX-11PRG"	"Brain - Cerebellar Hemisphere"	24	11	3.2188758248682	2.484906649788
"GTEX-11PRG-0011-R2a-SM-69LQ5"	"GTEX-11PRG"	"Brain - Substantia nigra"	31	36	3.46573590279973	3.61091791264422
"GTEX-11PRG-0011-R4a-SM-DNZZR"	"GTEX-11PRG"	"Brain - Amygdala"	74	72	4.31748811353631	4.29045944114839
"GTEX-11PRG-0011-R5b-SM-DNZZS"	"GTEX-11PRG"	"Brain - Caudate (basal ganglia)"	61	42	4.12713438504509	3.76120011569356
"GTEX-11PRG-0011-R6b-SM-DO923"	"GTEX-11PRG"	"Brain - Nucleus accumbens (basal ganglia)"	51	45	3.95124371858143	3.8286413964891
"GTEX-11PRG-0011-R7a-SM-DNZZT"	"GTEX-11PRG"	"Brain - Putamen (basal ganglia)"	36	31	3.61091791264422	3.46573590279973
"GTEX-11PRG-2826-SM-5BC54"	"GTEX-11PRG"	"Brain - Cerebellum"	19	19	2.99573227355399	2.99573227355399
"GTEX-11PRG-2926-SM-5987A"	"GTEX-11PRG"	"Brain - Cortex"	56	49	4.04305126783455	3.91202300542815
"GTEX-11TTK-0011-R10b-SM-DO925"	"GTEX-11TTK"	"Brain - Frontal Cortex (BA9)"	47	33	3.87120101090789	3.52636052461616
"GTEX-11TTK-0011-R11b-SM-DO112"	"GTEX-11TTK"	"Brain - Cerebellar Hemisphere"	11	12	2.484906649788	2.56494935746154
"GTEX-11TTK-0011-R4a-SM-DNZZU"	"GTEX-11TTK"	"Brain - Amygdala"	63	51	4.15888308335967	3.95124371858143
"GTEX-11TTK-0011-R5a-SM-DNZZV"	"GTEX-11TTK"	"Brain - Caudate (basal ganglia)"	49	43	3.91202300542815	3.78418963391826
"GTEX-11TTK-0011-R6b-SM-DNZZW"	"GTEX-11TTK"	"Brain - Nucleus accumbens (basal ganglia)"	49	44	3.91202300542815	3.80666248977032
"GTEX-11TTK-0011-R7b-SM-DNZZZ"	"GTEX-11TTK"	"Brain - Putamen (basal ganglia)"	55	47	4.02535169073515	3.87120101090789
"GTEX-11TTK-0011-R8b-SM-DO111"	"GTEX-11TTK"	"Brain - Hypothalamus"	57	54	4.06044301054642	4.00733318523247
"GTEX-11TTK-2826-SM-5GU5K"	"GTEX-11TTK"	"Brain - Cerebellum"	21	28	3.09104245335832	3.36729582998647
"GTEX-11TTK-2926-SM-5PNYP"	"GTEX-11TTK"	"Brain - Cortex"	92	55	4.53259949315326	4.02535169073515
"GTEX-11TUW-0011-R10a-SM-DO924"	"GTEX-11TUW"	"Brain - Frontal Cortex (BA9)"	58	46	4.07753744390572	3.85014760171006
"GTEX-11TUW-0011-R1a-SM-DO92S"	"GTEX-11TUW"	"Brain - Hippocampus"	55	41	4.02535169073515	3.73766961828337
"GTEX-11TUW-0011-R2b-SM-DO92T"	"GTEX-11TUW"	"Brain - Substantia nigra"	37	50	3.63758615972639	3.93182563272433
"GTEX-11UD1-0011-R1b-SM-5BC7D"	"GTEX-11UD1"	"Brain - Hippocampus"	17	13	2.89037175789616	2.63905732961526
"GTEX-11UD1-0011-R2b-SM-5BC6O"	"GTEX-11UD1"	"Brain - Substantia nigra"	43	28	3.78418963391826	3.36729582998647
"GTEX-11UD1-0011-R3a-SM-5BC6S"	"GTEX-11UD1"	"Brain - Anterior cingulate cortex (BA24)"	25	20	3.25809653802148	3.04452243772342
"GTEX-11UD1-0011-R5b-SM-5P9FP"	"GTEX-11UD1"	"Brain - Caudate (basal ganglia)"	39	31	3.68887945411394	3.46573590279973
"GTEX-11UD2-0011-R9b-SM-DO926"	"GTEX-11UD2"	"Brain - Spinal cord (cervical c-1)"	64	62	4.17438726989564	4.14313472639153
"GTEX-11WQC-0011-R10a-SM-57WCT"	"GTEX-11WQC"	"Brain - Frontal Cortex (BA9)"	37	30	3.63758615972639	3.43398720448515
"GTEX-11WQC-0011-R11b-SM-57WD6"	"GTEX-11WQC"	"Brain - Cerebellar Hemisphere"	6	8	1.94591014905531	2.19722457733622
"GTEX-11WQC-0011-R1b-SM-DO932"	"GTEX-11WQC"	"Brain - Hippocampus"	51	41	3.95124371858143	3.73766961828337
"GTEX-11WQC-0011-R2a-SM-DO927"	"GTEX-11WQC"	"Brain - Substantia nigra"	31	27	3.46573590279973	3.3322045101752
"GTEX-11WQC-0011-R3a-SM-DO11T"	"GTEX-11WQC"	"Brain - Anterior cingulate cortex (BA24)"	12	13	2.56494935746154	2.63905732961526
"GTEX-11WQC-0011-R5a-SM-5BC74"	"GTEX-11WQC"	"Brain - Caudate (basal ganglia)"	30	30	3.43398720448515	3.43398720448515
"GTEX-11WQC-0011-R6a-SM-5BC77"	"GTEX-11WQC"	"Brain - Nucleus accumbens (basal ganglia)"	30	16	3.43398720448515	2.83321334405622
"GTEX-11WQC-0011-R7b-SM-5BC7A"	"GTEX-11WQC"	"Brain - Putamen (basal ganglia)"	20	17	3.04452243772342	2.89037175789616
"GTEX-11WQC-0011-R8b-SM-57WCH"	"GTEX-11WQC"	"Brain - Hypothalamus"	11	13	2.484906649788	2.63905732961526
"GTEX-11WQK-0011-R10a-SM-5BC6R"	"GTEX-11WQK"	"Brain - Frontal Cortex (BA9)"	55	51	4.02535169073515	3.95124371858143
"GTEX-11WQK-0011-R3b-SM-DO93K"	"GTEX-11WQK"	"Brain - Anterior cingulate cortex (BA24)"	45	34	3.8286413964891	3.55534806148941
"GTEX-11WQK-0011-R8a-SM-5BC7C"	"GTEX-11WQK"	"Brain - Hypothalamus"	14	16	2.70805020110221	2.83321334405622
"GTEX-11WQK-0011-R9b-SM-5BC6N"	"GTEX-11WQK"	"Brain - Spinal cord (cervical c-1)"	52	35	3.97029191355212	3.58351893845611
"GTEX-11WQK-3026-SM-5EQL6"	"GTEX-11WQK"	"Brain - Cortex"	73	67	4.30406509320417	4.21950770517611
"GTEX-11ZTS-0011-R10a-SM-DO93S"	"GTEX-11ZTS"	"Brain - Frontal Cortex (BA9)"	34	28	3.55534806148941	3.36729582998647
"GTEX-11ZTS-0011-R11a-SM-DO113"	"GTEX-11ZTS"	"Brain - Cerebellar Hemisphere"	14	14	2.70805020110221	2.70805020110221
"GTEX-11ZTS-0011-R1a-SM-5BC71"	"GTEX-11ZTS"	"Brain - Hippocampus"	23	24	3.17805383034795	3.2188758248682
"GTEX-11ZTS-0011-R2b-SM-5BC75"	"GTEX-11ZTS"	"Brain - Substantia nigra"	37	25	3.63758615972639	3.25809653802148
"GTEX-11ZTS-0011-R3a-SM-5BC78"	"GTEX-11ZTS"	"Brain - Anterior cingulate cortex (BA24)"	21	17	3.09104245335832	2.89037175789616
"GTEX-11ZTS-0011-R8a-SM-57WDI"	"GTEX-11ZTS"	"Brain - Hypothalamus"	14	21	2.70805020110221	3.09104245335832
"GTEX-11ZTS-0011-R9b-SM-DO93Q"	"GTEX-11ZTS"	"Brain - Spinal cord (cervical c-1)"	48	41	3.89182029811063	3.73766961828337
"GTEX-11ZTS-3226-SM-5EGID"	"GTEX-11ZTS"	"Brain - Cerebellum"	20	14	3.04452243772342	2.70805020110221
"GTEX-11ZU8-0011-R4a-SM-5BC6Y"	"GTEX-11ZU8"	"Brain - Amygdala"	14	12	2.70805020110221	2.56494935746154
"GTEX-11ZUS-0011-R11b-SM-5BC7B"	"GTEX-11ZUS"	"Brain - Cerebellar Hemisphere"	3	7	1.38629436111989	2.07944154167984
"GTEX-11ZUS-0011-R8a-SM-5BC73"	"GTEX-11ZUS"	"Brain - Hypothalamus"	45	38	3.8286413964891	3.66356164612965
"GTEX-11ZUS-0011-R9b-SM-5BC76"	"GTEX-11ZUS"	"Brain - Spinal cord (cervical c-1)"	38	50	3.66356164612965	3.93182563272433
"GTEX-11ZUS-2826-SM-5EQKW"	"GTEX-11ZUS"	"Brain - Cerebellum"	23	17	3.17805383034795	2.89037175789616
"GTEX-11ZUS-2926-SM-5FQSL"	"GTEX-11ZUS"	"Brain - Cortex"	56	59	4.04305126783455	4.0943445622221
"GTEX-11ZVC-0011-R1b-SM-5BC6M"	"GTEX-11ZVC"	"Brain - Hippocampus"	44	29	3.80666248977032	3.40119738166216
"GTEX-11ZVC-0011-R3a-SM-5BC6V"	"GTEX-11ZVC"	"Brain - Anterior cingulate cortex (BA24)"	43	35	3.78418963391826	3.58351893845611
"GTEX-11ZVC-0011-R4a-SM-5BC6Z"	"GTEX-11ZVC"	"Brain - Amygdala"	31	30	3.46573590279973	3.43398720448515
"GTEX-11ZVC-0011-R9a-SM-57WC5"	"GTEX-11ZVC"	"Brain - Spinal cord (cervical c-1)"	38	30	3.66356164612965	3.43398720448515
"GTEX-11ZVC-3026-SM-59HJM"	"GTEX-11ZVC"	"Brain - Cerebellum"	28	17	3.36729582998647	2.89037175789616
"GTEX-12126-0011-R10b-SM-5BC6T"	"GTEX-12126"	"Brain - Frontal Cortex (BA9)"	76	63	4.34380542185368	4.15888308335967
"GTEX-12126-0011-R11a-SM-5BC6X"	"GTEX-12126"	"Brain - Cerebellar Hemisphere"	14	8	2.70805020110221	2.19722457733622
"GTEX-12126-0011-R9b-SM-5BC6P"	"GTEX-12126"	"Brain - Spinal cord (cervical c-1)"	81	69	4.40671924726425	4.24849524204936
"GTEX-12126-0926-SM-5FQTW"	"GTEX-12126"	"Brain - Cerebellum"	17	18	2.89037175789616	2.94443897916644
"GTEX-12126-1026-SM-5P9JJ"	"GTEX-12126"	"Brain - Cortex"	93	85	4.54329478227	4.45434729625351
"GTEX-1212Z-0011-R1b-SM-5BC72"	"GTEX-1212Z"	"Brain - Hippocampus"	26	23	3.29583686600433	3.17805383034795
"GTEX-12584-0011-R6a-SM-5NQ7C"	"GTEX-12584"	"Brain - Nucleus accumbens (basal ganglia)"	13	15	2.63905732961526	2.77258872223978
"GTEX-1269C-3126-SM-5EGI6"	"GTEX-1269C"	"Brain - Cerebellum"	16	13	2.83321334405622	2.63905732961526
"GTEX-12WSA-0011-R10b-SM-5P9ET"	"GTEX-12WSA"	"Brain - Frontal Cortex (BA9)"	66	46	4.20469261939097	3.85014760171006
"GTEX-12WSA-0011-R2a-SM-57WDK"	"GTEX-12WSA"	"Brain - Substantia nigra"	33	21	3.52636052461616	3.09104245335832
"GTEX-12WSA-0011-R4a-SM-57WB7"	"GTEX-12WSA"	"Brain - Amygdala"	24	26	3.2188758248682	3.29583686600433
