sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14ASI-2926-SM-5Q5DG"	"GTEX-14ASI"	"Brain - Cerebellum"	15	21	2.77258872223978	3.09104245335832
"GTEX-14ASI-3026-SM-5S2PN"	"GTEX-14ASI"	"Brain - Cortex"	58	41	4.07753744390572	3.73766961828337
"GTEX-14BIL-0011-R10a-SM-5SI75"	"GTEX-14BIL"	"Brain - Frontal Cortex (BA9)"	63	49	4.15888308335967	3.91202300542815
"GTEX-14BIL-0011-R8b-SM-69LQK"	"GTEX-14BIL"	"Brain - Hypothalamus"	34	39	3.55534806148941	3.68887945411394
"GTEX-14BIL-0011-R9a-SM-5SI7A"	"GTEX-14BIL"	"Brain - Spinal cord (cervical c-1)"	95	73	4.56434819146784	4.30406509320417
"GTEX-14BIL-3026-SM-7EWD4"	"GTEX-14BIL"	"Brain - Cortex"	58	63	4.07753744390572	4.15888308335967
"GTEX-14BIM-0011-R11b-SM-5S2RN"	"GTEX-14BIM"	"Brain - Cerebellar Hemisphere"	7	5	2.07944154167984	1.79175946922806
"GTEX-14BIM-0011-R1a-SM-69LQI"	"GTEX-14BIM"	"Brain - Hippocampus"	17	14	2.89037175789616	2.70805020110221
"GTEX-14BIM-0011-R2b-SM-69LQ6"	"GTEX-14BIM"	"Brain - Substantia nigra"	24	22	3.2188758248682	3.13549421592915
"GTEX-14BIM-0011-R3b-SM-5S2RL"	"GTEX-14BIM"	"Brain - Anterior cingulate cortex (BA24)"	34	36	3.55534806148941	3.61091791264422
"GTEX-14BIM-0011-R4b-SM-5S2RK"	"GTEX-14BIM"	"Brain - Amygdala"	25	13	3.25809653802148	2.63905732961526
"GTEX-14BIM-0011-R5b-SM-5S2RM"	"GTEX-14BIM"	"Brain - Caudate (basal ganglia)"	28	27	3.36729582998647	3.3322045101752
"GTEX-14BIM-0011-R6b-SM-5S2VB"	"GTEX-14BIM"	"Brain - Nucleus accumbens (basal ganglia)"	48	36	3.89182029811063	3.61091791264422
"GTEX-14BIM-0011-R9a-SM-6LLJL"	"GTEX-14BIM"	"Brain - Spinal cord (cervical c-1)"	90	67	4.51085950651685	4.21950770517611
"GTEX-14BIM-3026-SM-7EWCY"	"GTEX-14BIM"	"Brain - Cortex"	52	44	3.97029191355212	3.80666248977032
