analysis	estimate	effect_scale	odds_ratio	odds_ratio_95ci_low	odds_ratio_95ci_high	p_value	p_value_test	n_donors	converged	interpretation
Firth logistic trend: any cryptic-acceptor read	-4.4578237718447	log odds per risk-aligned allele	0.0115875530273656	0.00123696127021355	0.0487638579164936	1.84956995026887e-18	penalized likelihood-ratio test	147	TRUE	Risk-aligned genotype is associated with lower detection of the competing cryptic acceptor.
Depth-adjusted Firth logistic trend: any cryptic-acceptor read	-4.33873956229997	log odds per rs7080009 risk-aligned allele, adjusted for standardized log cluster depth	0.0130529702950021	0.00141376704827574	0.0538997858356748	1.03703780555846e-17	penalized likelihood-ratio test	147	TRUE	Risk-aligned genotype remains associated with lower cryptic-acceptor detection after adjustment for local cluster depth.
Beta-binomial cryptic-versus-canonical read model	-1.8981096855269	log odds of a cryptic read per rs7080009 risk-aligned allele	0.149851618342669	0.0917795123794694	0.237499010350171	4.44815324123108e-14	beta-binomial likelihood-ratio test	147	TRUE	A read-count model accounting for overdispersion supports lower cryptic-versus-canonical read use with increasing rs7080009 risk-allele dosage.
Fisher exact: risk homozygotes versus other genotypes	0	odds ratio for any cryptic-acceptor read	0			1.19882105867779e-18	Fisher exact test	147	TRUE	The zero cryptic-read count in risk homozygotes constitutes complete separation and motivates penalized inference.
Observed donor-level canonical fraction	0.0442639106924822	absolute fraction difference: genotype 2 minus genotype 0					descriptive	147	TRUE	Descriptive magnitude only; sparse competing-junction counts preclude a precise continuous isoform-shift estimate.
