minimum_cluster_reads	n	alt_allele	per_alt_allele_delta_ier_percentage_points	bootstrap_95ci_low	bootstrap_95ci_high	homozygote_contrast_percentage_points
1	147	"C"	2.56448051554171	1.80034679031408	3.36415440885577	4.426391069248
10	145	"C"	2.56385610731844	1.80783388775832	3.36667116347168	4.426391069248
20	121	"C"	2.33670748311654	1.61567829379536	3.06709251730664	4.426391069248
30	88	"C"	2.55793426841613	1.82545826377259	3.3214506241154	4.639586603872
50	35	"C"	1.46491710303612	0.729031462192806	2.47351658242747	2.884615384615
