lipid	n_pcs	cumulative_ld_variance	lipid_total_estimate	lipid_total_p	lipid_instrument_F	lipid_to_splice_estimate	lipid_to_splice_se	lipid_to_splice_p	first_step_instrument_F	splice_direct_estimate	splice_direct_p	lipid_direct_estimate	lipid_direct_p	splice_conditional_F	lipid_conditional_F	attenuation_fraction	indirect_estimate	indirect_se	indirect_p	posterior_probability_indirect_positive	all_strength_F_ge_10	confirmatory_mediation	status	minimum_conditional_F
"TC"	3	0.131326952677397	7.13724516262222	4.64738259787631e-05	10.7763439814553	93.2032125110736	51.2650558635465	0.0690541726615781	11.4650624091582	0.0544047216964117	0.000807113722428456	2.19013395306199	0.110390670263489	12.7211121516441	10.4555416337316	0.693140153776456	5.07069483787647	3.17324734124054	0.110053807131426	0.96509722409317	TRUE	FALSE	"completed"	10.4555416337316
"TC"	5	0.179948537108722	1.38558871259505	0.701017849634622	9.17953116363252	37.3250229931757	40.8976271957713	0.361429175874107	8.94091864071531	0.0538221734295142	0.000156122611659027	2.08266972822099	0.112025832674745	7.95530866771137	6.07825209989551	-0.503093745849284	2.00891386079931	2.2644112840308	0.3749883080947	0.81923556439055	FALSE	FALSE	"completed"	6.07825209989551
"TC"	6	0.201125625956122	3.36025178890234	0.0770792934450895	11.2537611282507	39.2131034041835	21.9347989695151	0.073822484183451	11.6765178410392	0.058085014811862	0.00943936134084503	0.852273330893761	0.579081148465343	7.23525334078091	5.63574131751814	0.746366229546101	2.27769369205108	1.5470168925003	0.140936267940436	0.958717495789495	FALSE	FALSE	"completed"	5.63574131751814
"TC"	7	0.220799519095938	3.15990534028752	0.0473597019393766	11.2739642628775	34.9457844170779	19.7458227818239	0.0767636097171409	10.8527382827258	0.0602812814846671	0.00138449698376056	0.99437467910029	0.457721372682958	6.2746552532061	4.93476024192455	0.685315042060781	2.10657666714837	1.36042911430071	0.121510417734222	0.960979086142607	FALSE	FALSE	"completed"	4.93476024192455
"TC"	8	0.239723502015756	3.21380997045043	0.0288151226452339	9.89674561404244	37.4336830414955	23.6418064506959	0.113337580914067	9.79721874214933	0.0550932104554982	0.0146210059293719	1.73851027900174	0.238051780421921	5.41633004983787	4.27268090062728	0.459050069858958	2.06234177792953	1.55240432515431	0.184018803775786	0.936849261299563	FALSE	FALSE	"completed"	4.27268090062728
"TC"	9	0.258235329852746	3.45742506425452	0.0361991969640946	8.83066217179583	39.3344664409422	24.8027290077509	0.112763656029796	8.78282159879355	0.0482875820294096	0.037924495475976	2.12021962310789	0.158182572464613	4.70271871864027	3.72675380480949	0.386763390759116	1.89936627485006	1.50722817508505	0.207607433513411	0.926794176628593	FALSE	FALSE	"completed"	3.72675380480949
"TC"	10	0.274938506423136	3.1069424429225	0.0487715959728466	8.67179045681945	35.442479588678	19.9200437592675	0.0752009090232165	8.12672909877665	0.0554369987891427	0.00616642677374406	1.86847076835119	0.174194392406578	4.82824745741547	3.73392850386074	0.398614295991387	1.96482469804176	1.31687641601476	0.135690170311816	0.959548192550925	FALSE	FALSE	"completed"	3.73392850386074
"TC"	11	0.290481815047783	2.95870284211338	0.0391977576023111	8.25686168579657	41.770193210618	22.5287893372184	0.0637276172987464	7.85813748678912	0.0530817491672562	0.00316646300146998	1.84582801874826	0.146579021791979	4.37322978884165	3.37887755027652	0.376136057844255	2.21723491867385	1.4122991922805	0.116427435610697	0.966653855421066	FALSE	FALSE	"completed"	3.37887755027652
"TC"	12	0.305135698924048	3.00970960337898	0.0301946354374012	7.57904762923664	36.5895664655297	20.4005649194074	0.0728839798296576	7.61614648187058	0.0559698329288859	0.000413070469603248	2.06843288130514	0.0493575525184702	4.95162254437603	3.85149001555999	0.312746691912427	2.04791192201606	1.28062861759469	0.109788201960461	0.963366527960257	FALSE	FALSE	"completed"	3.85149001555999
"TC"	13	0.319581706658549	3.08641500774359	0.0293903316727015	6.99995580148974	-10.1919597767193	16.5209413378362	0.537293058183992	7.10842655001831	0.0535632884831119	0.000351221810823339	2.0252875834575	0.0399720216768963	5.38905560635983	4.16214668009181	0.343805814067062	-0.545914881728689	0.898000143008206	0.543238588048199	0.268727785476989	FALSE	FALSE	"completed"	4.16214668009181
