outcome	method	estimate	se	pvalue	n_instruments	q_pvalue	egger_intercept_pvalue	lo	hi	outcome_label	method_label
"AD"	"LD-aware generalized IVW"	0.0642241140111702	0.00316808473477415	2.262134846486e-91	5	0.995849655855812	0.757184453818077	0.0580146679310128	0.0704335600913275	"AD"	"LD-aware generalized IVW"
"TC"	"LD-aware generalized IVW"	0.00795402252064381	0.000473156602046978	2.04268742741633e-63	5	0.194589711012923	0.111115169506208	0.00702663558063174	0.00888140946065589	"TC"	"LD-aware generalized IVW"
"LDL"	"LD-aware generalized IVW"	0.00758730578658791	0.000480183586814955	3.06980556422557e-56	5	0.164109638453031	0.0641372365570264	0.0066461459564306	0.00852846561674522	"LDL-C"	"LD-aware generalized IVW"
"nonHDL"	"LD-aware generalized IVW"	0.00836514494897035	0.000556524880508374	4.59765686031697e-51	5	0.00411018703973054	0.00265902387734354	0.00727435618317394	0.00945593371476677	"non-HDL-C"	"LD-aware generalized IVW"
"AD"	"Lead-instrument Wald"	0.0653359356022214	0.0109982063992722	2.83982234085025e-09	1	NA	NA	0.0437794510596479	0.086892420144795	"AD"	"Lead-instrument Wald"
"TC"	"Lead-instrument Wald"	0.00894842649288425	0.00168358044506682	1.06589009353888e-07	1	NA	NA	0.00564860882055328	0.0122482441652152	"TC"	"Lead-instrument Wald"
"LDL"	"Lead-instrument Wald"	0.0086559225350343	0.00170865682670009	4.06427915370995e-07	1	NA	NA	0.00530695515470212	0.0120048899153665	"LDL-C"	"Lead-instrument Wald"
"nonHDL"	"Lead-instrument Wald"	0.0100109730866204	0.00200429728733377	5.89106291193129e-07	1	NA	NA	0.00608255040344618	0.0139393957697946	"non-HDL-C"	"Lead-instrument Wald"
